Company Name,Owner Name,Registered Agent,Commercial Registered Agent
X Corp.,,,C T CORPORATION SYSTEM
"X Diamond Partners, LLP",,KENDALL  VETTER,
X ELECTRIC,"XTREME ELECTRICAL SERVICES, INC.",,
X FOODS,Oech Foods LLC,,
X Golf Bismarck,"Elite Golf 2, LLC",,
X Golf Minot,"Elite Golf, LLC",,
X Payments LLC,,,C T CORPORATION SYSTEM
X Realty LLC,,ERIC  CHRISTIANS,
"X S BROKERS INSURANCE AGENCY, INC.",,,"REGISTERED AGENT SOLUTIONS, INC."
X11 LLC,,MIAN  HUSSAIN,
x2VA LLC,,DAKOTA W REGISTERED AGENT LLC,
"X4 Pharmaceuticals, Inc.",,,UNITED AGENT GROUP INC.
"X4I LIMITED (dba X4I LIMITED, LLC)",,,CORPORATION SERVICE COMPANY
"X4I LIMITED, LLC",X4I LIMITED,,
"XaBeat, LLC",,ROXANNE  WANZEK,
XABOW EXPRESS LOGISTICS INC.,,ABDIKARIM A JAMA,
XactlyOne Foundation,,,Registered Agents Inc
"Xactus, LLC",,,CORPORATION SERVICE COMPANY
"XANADU PRODUCTS, L.L.C.",,RICK  PAULSON,
"XANADU, LLC",,MICHELLE  BAKKE,
XAP LLC,,"INCORPORATING SERVICES, LTD.",
XAPIC STUDIOS,PATRICIA A ROGALLA,,
Xavier Collections LLC,,KORTO C KOLLIE,
Xavier Gold Consulting Group Inc,,,"LEGALCORP SOLUTIONS, LLC"
Xavier Taylor Construction,Xavier G Taylor,,
"XCALIBER INTERNATIONAL LTD., L.L.C.",,,CORPORATION SERVICE COMPANY
Xcalibur Entertainment,"JONES ENTERPRISES, INC.",,
Xcalibur Leasing Company,,GREGORY C KRUTSINGER,
"XCED AVIATION SERVICES, LLC",,,C T CORPORATION SYSTEM
XCEL AG SOLUTIONS LLC,,ANTHONY  BAUMGARTNER,
XCEL AGRONOMY LLC,,CHRISTOPHER  PERLEBERG,
Xcel Automation & Electric LLC,,TANNER  COLLETTE,
Xcel Aviation,Tanner S Collette,,
Xcel Aviation LLC,,TANNER  COLLETTE,
Xcel Detailing,Diamonte Stugelmeyer,,
XCEL ENERGY,NORTHERN STATES POWER COMPANY,,
XCEL ENERGY INC.,,,CORPORATION SERVICE COMPANY
XCEL ENERGY SERVICES INC.,,,CORPORATION SERVICE COMPANY
"XCEL ERECTORS, INC.",,,C T CORPORATION SYSTEM
Xcel Holdings,Tanner Collette,,
Xcel Holdings LLC,,TANNER  COLLETTE,
XCEL NDT LLC,,,SEARCH COMPANY OF NORTH DAKOTA LLC
XCEL TRUCKING LLC,,Kenneth  Miller,
Xcelerate Indoor Adventures,Xcelerate Indoor Adventures LLC,,
Xcelerate Indoor Adventures LLC,,ANNIE  CREECH,
XCELL DRIVING SCHOOL LLP,,DAVID J KLINKHAMMER,
"XCHANGE BENEFITS, LLC",,,"3H AGENT SERVICES, INC."
XCHANGE TELECOM LLC,,,"INCORP SERVICES, INC."
"XCLOUD, LLC",,,"REGISTERED AGENT SOLUTIONS, INC."
XCMG America Financial LLC,,"VCORP SERVICES, LLC",
"XConnect Texas, LLC",,,"INCORP SERVICES, INC."
"XConnect, LLC",,,"INCORP SERVICES, INC."
XCS Pros,"XCS Pros, LLC",,
"XCS Pros, LLC",,MICHAEL S BROOKS,
xDatak LLC,,,AAA NORTH DAKOTA REGISTERED AGENT LLC
XDP Digital LLC,,KIMBERLY  BRAUN,
Xe USA,"DANDELION PAYMENTS, INC.",,
